plot_id;red_edge;green;blue;red;nir;timepoint
9;0.188067571;0.071895873;0.031814129;0.089204327;0.317580782;1.4
10;0.193647626;0.076639529;0.031023046;0.078938907;0.332594702;1.4
11;0.242115259;0.103801559;0.033734375;0.110885463;0.342746277;1.4
12;0.228007169;0.099678;0.03984693;0.122008262;0.326481865;1.4
13;0.210729717;0.083856606;0.030658426;0.094449164;0.331214316;1.4
14;0.200680179;0.083409695;0.035831089;0.112749017;0.311832806;1.4
15;NULL;NULL;NULL;NULL;NULL;1.4
16;0.126701315;NULL;0.01678049;0.040628821;0.253333001;1.4
17;NULL;NULL;0.019524654;0.061257695;0.361939857;1.4
18;0.145751643;NULL;0.030523064;0.066529545;0.218722138;1.4
19;0.217027834;0.084942285;0.026979924;0.070012737;0.36670282;1.4
20;0.173496065;0.05750997;0.024158084;0.090076582;0.276083533;1.4
21;0.15690437;0.055159969;0.019569504;0.060244168;0.286928464;1.4
22;0.144036296;0.051143811;0.017956593;0.051834015;0.283142121;1.4
23;0.214992432;0.085515474;0.031325644;0.102260595;0.325197587;1.4
24;0.201455588;0.074139424;0.024324402;0.074271598;0.337544118;1.4
25;0.178256118;0.067711352;0.028715522;0.079823553;0.304443422;1.4
26;0.213487469;0.090676127;0.033998598;0.087670502;0.337281725;1.4
27;0.183109428;0.075041265;0.03034915;0.086085249;0.294920766;1.4
28;0.240662606;0.101759274;0.034656451;0.084205238;0.39096577;1.4
29;0.201990582;0.085873738;0.037339261;0.119220136;0.30561885;1.4
30;0.188419353;0.072905993;0.023838128;0.049857328;0.411964091;1.4
31;0.206548472;0.078999628;0.02401207;0.05569307;0.392505113;1.4
32;0.19902062;0.07438169;0.022092639;0.059584255;0.348285656;1.4
33;0.206617161;0.087035005;0.034137008;0.106286684;0.311998555;1.4
34;0.209678511;0.079755416;0.023922253;0.067111166;0.345808655;1.4
35;0.205106327;0.086250395;0.036727784;0.110496129;0.297397995;1.4
36;0.206449926;0.088612929;0.039384484;0.120738233;0.29569543;1.4
37;0.171584999;0.062782274;0.021347723;0.059224135;0.307435973;1.4
38;0.152339552;0.056223484;0.022636187;0.070589901;0.259735551;1.4
39;0.18127686;0.064944939;0.021711756;0.05877587;0.334884902;1.4
40;0.201483552;0.083197829;0.035158606;0.092369559;0.314645632;1.4
41;0.197402731;0.080676094;0.028628553;0.099666467;0.301733377;1.4
42;0.211218642;0.0868684;0.026858554;0.082867469;0.319157919;1.4
43;0.235535341;0.096304274;0.032188892;0.069341584;0.409813103;1.4
44;0.191614839;0.077969305;0.030478308;0.084085346;0.317801533;1.4
45;0.170026076;0.062570646;0.017940155;0.045031148;0.330758014;1.4
46;0.215570266;0.088544612;0.033940743;0.094200497;0.334385283;1.4
47;0.184652601;0.069668957;0.022518122;0.053281832;0.341314323;1.4
48;0.186356079;0.067996473;0.01990246;0.057210095;0.325698961;1.4
49;0.210699614;0.084494474;0.029170352;0.062503529;0.371723277;1.4
50;0.216769953;0.092171525;0.032757971;0.09343631;0.319486568;1.4
51;0.18562468;0.073954426;0.03033654;0.100732223;0.280837779;1.4
52;0.164162443;0.065373791;0.02719772;0.076878319;0.272810396;1.4
53;0.161186317;0.061208822;0.024149346;0.08451189;0.260002001;1.4
54;0.167968843;0.063765589;0.025254224;0.089127618;0.269614281;1.4
55;0.19553423;0.077506916;0.025652737;0.083486212;0.307386286;1.4
56;0.216510221;0.086283264;0.029838788;0.059160903;0.381906767;1.4
57;0.216647834;0.093087401;0.036158731;0.104629153;0.321382313;1.4
58;0.212330191;0.083804648;0.025267507;0.071650704;0.341400127;1.4
59;0.193893403;0.08079735;0.03013516;0.086597251;0.305292721;1.4
60;0.195425665;0.074395051;0.025772809;0.061172769;0.368200424;1.4
61;0.217766806;0.084967673;0.028020812;0.064335092;0.369060667;1.4
62;0.178503634;0.068021066;0.021925677;0.051603694;0.334376429;1.4
63;0.203808058;0.086569319;0.034025905;0.094181987;0.310469396;1.4
64;0.180538246;0.072109299;0.026022368;0.080715657;0.292891185;1.4
65;0.178569781;0.074409043;0.031042513;0.101053311;0.272419836;1.4
66;0.199846525;0.087706856;0.040792284;0.118698811;0.294232551;1.4
67;0.188272331;0.07101008;0.023813398;0.060338612;0.334897385;1.4
68;0.181360763;0.070721034;0.02678278;0.071766678;0.307824106;1.4
69;0.180944263;0.070027347;0.02684077;0.089282866;0.293958362;1.4
70;0.193327518;0.074933465;0.026183351;0.069736867;0.32780312;1.4
71;0.187707675;0.07449893;0.024300723;0.068311247;0.310030284;1.4
72;0.18008242;0.071592187;0.026462065;0.065445037;0.314088645;1.4
73;0.193283992;0.078832648;0.026759486;0.076990289;0.308649543;1.4
74;0.178340103;0.075297432;0.033576285;0.09412077;0.287096335;1.4
75;0.194940226;0.080285556;0.031054073;0.088247216;0.31911653;1.4
76;0.208129282;0.087934556;0.035003803;0.093298987;0.321385694;1.4
77;0.196225893;0.079657576;0.028645893;0.078584233;0.319274625;1.4
78;0.200021978;0.082357696;0.029699697;0.089303611;0.31682146;1.4
79;0.182793392;0.074983182;0.02542129;0.07642718;0.29078522;1.4
80;0.172485104;0.070582703;0.030686047;0.080580541;0.291758957;1.4
81;0.209728633;0.085577898;0.029676655;0.084783492;0.330748558;1.4
82;0.183268188;0.068485525;0.02052489;0.057622539;0.321040945;1.4
83;0.204306484;0.081236563;0.030083168;0.076055202;0.343861401;1.4
84;0.22529449;0.091034707;0.031870567;0.084364319;0.374298749;1.4
85;0.187979739;0.074767538;0.027397371;0.080179381;0.309275908;1.4
86;0.195042786;0.077519202;0.025341014;0.075574079;0.306316322;1.4
87;0.215912503;0.084107514;0.026911413;0.069598492;0.355492749;1.4
