Env;m;MeanCorr;SDCorr
KET21;Model_0061;0.17;0.06
KET21;Model_0216;0.17;0.06
KET21;Model_0065;0.17;0.06
KET21;Model_0220;0.17;0.06
KET21;Model_0147;0.17;0.06
KET21;Model_0302;0.17;0.06
KET21;Model_0060;0.17;0.06
KET21;Model_0215;0.17;0.06
KET21;Model_0175;0.17;0.06
KET21;Model_0330;0.17;0.06
KET21;Model_0058;0.17;0.06
KET21;Model_0213;0.17;0.06
KET21;Model_0126;0.17;0.06
KET21;Model_0281;0.17;0.06
KET21;Model_0140;0.17;0.06
KET21;Model_0295;0.17;0.06
KET21;Model_0062;0.17;0.06
KET21;Model_0217;0.17;0.06
KET21;Model_0064;0.17;0.06
KET21;Model_0219;0.17;0.06
KET21;Model_0154;0.17;0.06
KET21;Model_0309;0.17;0.06
KET21;Model_0168;0.17;0.06
KET21;Model_0323;0.17;0.06
KET21;Model_0172;0.17;0.06
KET21;Model_0327;0.17;0.06
KET21;Model_0054;0.17;0.06
KET21;Model_0209;0.17;0.06
KET21;Model_0137;0.17;0.06
KET21;Model_0292;0.17;0.06
KET21;Model_0136;0.17;0.06
KET21;Model_0291;0.17;0.06
KET21;Model_0144;0.17;0.06
KET21;Model_0299;0.17;0.06
KET21;Model_0143;0.17;0.06
KET21;Model_0298;0.17;0.06
KET21;Model_0057;0.17;0.06
KET21;Model_0212;0.17;0.06
KET21;Model_0093;0.17;0.06
KET21;Model_0248;0.17;0.06
KET21;Model_0123;0.17;0.06
KET21;Model_0278;0.17;0.06
KET21;Model_0122;0.17;0.06
KET21;Model_0277;0.17;0.06
KET21;Model_0165;0.17;0.06
KET21;Model_0320;0.17;0.06
KET21;Model_0164;0.17;0.06
KET21;Model_0319;0.17;0.06
KET21;Model_0171;0.17;0.06
KET21;Model_0326;0.17;0.06
KET21;Model_0119;0.17;0.06
KET21;Model_0274;0.17;0.06
KET21;Model_0151;0.17;0.06
KET21;Model_0306;0.17;0.06
KET21;Model_0150;0.17;0.06
KET21;Model_0305;0.17;0.06
KET21;Model_0051;0.17;0.06
KET21;Model_0206;0.17;0.06
KET21;Model_0072;0.17;0.06
KET21;Model_0227;0.17;0.06
KET21;Model_0053;0.17;0.06
KET21;Model_0208;0.17;0.06
KET21;Model_0086;0.17;0.06
KET21;Model_0241;0.17;0.06
KET21;Model_0056;0.17;0.06
KET21;Model_0211;0.17;0.06
KET21;Model_0055;0.17;0.06
KET21;Model_0210;0.17;0.06
KET21;Model_0100;0.17;0.06
KET21;Model_0255;0.17;0.06
KET21;Model_0112;0.17;0.06
KET21;Model_0267;0.17;0.06
KET21;Model_0083;0.17;0.06
KET21;Model_0238;0.17;0.06
KET21;Model_0082;0.17;0.06
KET21;Model_0237;0.17;0.06
KET21;Model_0090;0.17;0.06
KET21;Model_0245;0.17;0.06
KET21;Model_0089;0.17;0.06
KET21;Model_0244;0.17;0.06
KET21;Model_0109;0.17;0.06
KET21;Model_0264;0.17;0.06
KET21;Model_0069;0.17;0.06
KET21;Model_0224;0.17;0.06
KET21;Model_0068;0.17;0.06
KET21;Model_0223;0.17;0.06
KET21;Model_0108;0.17;0.06
KET21;Model_0263;0.17;0.06
KET21;Model_0027;0.17;0.06
KET21;Model_0182;0.17;0.06
KET21;Model_0116;0.17;0.06
KET21;Model_0271;0.17;0.06
KET21;Model_0115;0.17;0.06
KET21;Model_0270;0.17;0.06
KET21;Model_0097;0.17;0.06
KET21;Model_0252;0.17;0.06
KET21;Model_0024;0.17;0.06
KET21;Model_0179;0.17;0.06
KET21;Model_0096;0.17;0.06
KET21;Model_0251;0.17;0.06
KET21;Model_0025;0.17;0.06
KET21;Model_0180;0.17;0.06
KET21;Model_0021;0.17;0.06
